GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Airline GWT Application,edu.pdx.cs410J.airlinegwt.server,AirlineServiceImpl,31,0,0,0,9,0,5,0,5,0
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,AirlineGwt,245,0,6,0,57,0,15,0,12,0
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,Flight,22,3,0,0,7,2,7,1,7,1
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,Airline,6,13,0,0,2,5,1,3,1,3
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,AirlineGwt.new Scheduler.ScheduledCommand() {...},10,0,0,0,3,0,2,0,2,0
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,AirlineGwt.new AsyncCallback() {...},46,0,2,0,11,0,4,0,3,0
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,AirlineGwt.new AsyncCallback() {...},17,0,0,0,5,0,3,0,3,0
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,AirlineGwt.new GWT.UncaughtExceptionHandler() {...},11,0,0,0,3,0,2,0,2,0
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,AirlineGwt.new ClickHandler() {...},10,0,0,0,3,0,2,0,2,0
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,AirlineGwt.new AirlineGwt.Alerter() {...},6,0,0,0,3,0,2,0,2,0
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,AirlineGwt.new AsyncCallback() {...},17,0,0,0,5,0,3,0,3,0
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,AirlineGwt.new ClickHandler() {...},10,0,0,0,3,0,2,0,2,0
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,AirlineGwt.new ClickHandler() {...},10,0,0,0,3,0,2,0,2,0
Airline GWT Application,edu.pdx.cs410J.airlinegwt.client,AirlineGwt.new ClickHandler() {...},10,0,0,0,3,0,2,0,2,0
